CO_IES,NM_IES,CATEG_ADM,CO_UF,NM_UF,NM_REGIAO
506,FMC,Privada sem fins lucrativos,33,RJ,Sudeste
507,FTM,Privada sem fins lucrativos,31,MG,Sudeste
508,FACESM,Privada sem fins lucrativos,31,MG,Sudeste
513,UNIVALE,Privada sem fins lucrativos,31,MG,Sudeste
514,UBM,Privada sem fins lucrativos,33,RJ,Sudeste
515,UNIAN,Privada com fins lucrativos,33,RJ,Sudeste
516,UNIMSB,Privada sem fins lucrativos,33,RJ,Sudeste
517,FESL,Privada sem fins lucrativos,35,SP,Sudeste
518,UDF,Privada com fins lucrativos,53,DF,Centro-Oeste
519,UCSAL,Privada sem fins lucrativos,29,BA,Nordeste
521,UMC,Privada com fins lucrativos,35,SP,Sudeste
522,UCL,Privada sem fins lucrativos,33,RJ,Sudeste
526,UBC,Privada com fins lucrativos,35,SP,Sudeste
527,PUC GOIÁS,Privada sem fins lucrativos,52,GO,Centro-Oeste
528,PUC-RIO,Privada sem fins lucrativos,33,RJ,Sudeste
530,FAMES,Pública Estadual,32,ES,Sudeste
533,FII,Privada sem fins lucrativos,35,SP,Sudeste
534,EBMSP,Privada sem fins lucrativos,29,BA,Nordeste
544,FACHI,Privada sem fins lucrativos,31,MG,Sudeste
545,FACCI,Privada sem fins lucrativos,31,MG,Sudeste
546,PUCSP,Privada sem fins lucrativos,35,SP,Sudeste
547,UERJ,Pública Estadual,33,RJ,Sudeste
548,UFMA,Pública Federal,21,MA,Nordeste
549,UFAC,Pública Federal,12,AC,Norte
550,UEPB,Pública Estadual,25,PB,Nordeste
555,UNIFOR,Privada sem fins lucrativos,23,CE,Nordeste
568,UEMA,Pública Estadual,21,MA,Nordeste
569,UFPA,Pública Federal,15,PA,Norte
570,UFRN,Pública Federal,24,RN,Nordeste
571,UFPR,Pública Federal,41,PR,Sul
572,UFF,Pública Federal,33,RJ,Sudeste
573,UFES,Pública Federal,32,ES,Sudeste
574,UFRRJ,Pública Federal,33,RJ,Sudeste
575,UFMG,Pública Federal,31,MG,Sudeste
576,UFJF,Pública Federal,31,MG,Sudeste
577,UFAL,Pública Federal,27,AL,Nordeste
578,UFBA,Pública Federal,29,BA,Nordeste
579,UFPB,Pública Federal,25,PB,Nordeste
580,UFPE,Pública Federal,26,PE,Nordeste
581,UFRGS,Pública Federal,43,RS,Sul
582,UFSM,Pública Federal,43,RS,Sul
583,UFC,Pública Federal,23,CE,Nordeste
584,UFG,Pública Federal,52,GO,Centro-Oeste
585,UFSC,Pública Federal,42,SC,Sul
586,UFRJ,Pública Federal,33,RJ,Sudeste
587,UFRPE,Pública Federal,26,PE,Nordeste
588,UTFPR,Pública Federal,41,PR,Sul
589,UFERSA,Pública Federal,24,RN,Nordeste
590,UFRA,Pública Federal,15,PA,Norte
591,UNIFESP,Pública Federal,35,SP,Sudeste
592,UFLA,Pública Federal,31,MG,Sudeste
593,CEFET/RJ,Pública Federal,33,RJ,Sudeste
594,CEFET/MG,Pública Federal,31,MG,Sudeste
595,UNIFAL-MG,Pública Federal,31,MG,Sudeste
596,UFVJM,Pública Federal,31,MG,Sudeste
597,UFTM,Pública Federal,31,MG,Sudeste
598,UNIFEI,Pública Federal,31,MG,Sudeste
602,ITA,Pública Federal,35,SP,Sudeste
605,USCS,Pública Municipal,35,SP,Sudeste
606,FDCI,Privada sem fins lucrativos,32,ES,Sudeste
607,FACCACI,Privada sem fins lucrativos,32,ES,Sudeste
609,UNIOESTE,Pública Estadual,41,PR,Sul
610,BENNETT,Privada sem fins lucrativos,33,RJ,Sudeste
621,CESMAC,Privada sem fins lucrativos,27,AL,Nordeste
622,FAU,Privada sem fins lucrativos,33,RJ,Sudeste
625,FACECAP,Privada sem fins lucrativos,35,SP,Sudeste
626,FACOS,Privada sem fins lucrativos,43,RS,Sul
627,FACECA,Privada sem fins lucrativos,31,MG,Sudeste
633,IME,Pública Federal,33,RJ,Sudeste
634,UFPEL,Pública Federal,43,RS,Sul
636,ESPM,Privada sem fins lucrativos,35,SP,Sudeste
637,FESP,Privada sem fins lucrativos,35,SP,Sudeste
638,FDMC,Privada sem fins lucrativos,31,MG,Sudeste
640,FAMATH,Privada com fins lucrativos,33,RJ,Sudeste
641,UNILASALLE,Privada sem fins lucrativos,43,RS,Sul
645,Católica em Jaraguá,Privada sem fins lucrativos,42,SC,Sul
647,FELM,Privada sem fins lucrativos,33,RJ,Sudeste
648,FAZU,Privada sem fins lucrativos,31,MG,Sudeste
649,UNIUV,Pública Municipal,41,PR,Sul
650,IESA/FACCAA,Privada com fins lucrativos,35,SP,Sudeste
651,FAGV,Privada sem fins lucrativos,31,MG,Sudeste
652,FASC,Privada sem fins lucrativos,35,SP,Sudeste
661,FPD,Privada com fins lucrativos,28,SE,Nordeste
662,FAINC,Privada sem fins lucrativos,35,SP,Sudeste
663,UNIVERSO,Privada sem fins lucrativos,33,RJ,Sudeste
664,UVV,Privada sem fins lucrativos,32,ES,Sudeste
666,UEFS,Pública Estadual,29,BA,Nordeste
667,FIJ,Privada sem fins lucrativos,33,RJ,Sudeste
668,CIESA,Privada com fins lucrativos,13,AM,Norte
669,UNINILTONLINS,Privada sem fins lucrativos,13,AM,Norte
670,USF,Privada sem fins lucrativos,35,SP,Sudeste
671,UNIDERP,Privada com fins lucrativos,50,MS,Centro-Oeste
672,FACENS,Privada sem fins lucrativos,35,SP,Sudeste
673,UNIGRAN,Privada sem fins lucrativos,50,MS,Centro-Oeste
674,CESVASF,Pública Municipal,26,PE,Nordeste
677,FRASCE,Privada sem fins lucrativos,33,RJ,Sudeste
682,FINOM,Privada com fins lucrativos,31,MG,Sudeste
685,FBJ,Pública Municipal,26,PE,Nordeste
686,FACAL,Pública Municipal,26,PE,Nordeste
688,UESB,Pública Estadual,29,BA,Nordeste
693,UNIRIO,Pública Federal,33,RJ,Sudeste
694,UFMS,Pública Federal,50,MS,Centro-Oeste
699,UNIR,Pública Federal,11,RO,Norte
701,FAGA,Pública Municipal,26,PE,Nordeste
702,FADIMAB,Pública Municipal,26,PE,Nordeste
703,FAFOPA,Pública Municipal,26,PE,Nordeste
704,FACIAGRA,Pública Municipal,26,PE,Nordeste
705,FSJ,Privada sem fins lucrativos,33,RJ,Sudeste
706,FADM,Privada sem fins lucrativos,53,DF,Centro-Oeste
707,UNICEP,Privada com fins lucrativos,35,SP,Sudeste
710,FABES,Privada sem fins lucrativos,33,RJ,Sudeste
712,UNI IBMR,Privada com fins lucrativos,33,RJ,Sudeste
715,FAE,Privada sem fins lucrativos,41,PR,Sul
716,UNIFAC,Privada sem fins lucrativos,35,SP,Sudeste
717,UFCSPA,Pública Federal,43,RS,Sul
718,UNP,Privada com fins lucrativos,24,RN,Nordeste
719,UNEMAT,Pública Estadual,51,MT,Centro-Oeste
720,FACHUCA,Pública Municipal,26,PE,Nordeste
721,FAEDA,Privada sem fins lucrativos,35,SP,Sudeste
722,EEFA,Privada sem fins lucrativos,35,SP,Sudeste
723,FAA,Privada sem fins lucrativos,35,SP,Sudeste
724,UNIFACEX,Privada sem fins lucrativos,24,RN,Nordeste
728,FACIC,Privada sem fins lucrativos,31,MG,Sudeste
730,UEPG,Pública Estadual,41,PR,Sul
734,FIMI,Privada sem fins lucrativos,35,SP,Sudeste
737,SAO CAMILO,Privada sem fins lucrativos,35,SP,Sudeste
738,FATEA,Privada sem fins lucrativos,35,SP,Sudeste
739,SĂO CAMILO-ES,Privada sem fins lucrativos,32,ES,Sudeste
744,FA,Pública Municipal,52,GO,Centro-Oeste
